time,file,tag,step,metric,value
2025-10-04 22:13:24.683925,training.py:202,PUZZLES EVAL,85000,puzzles_solved,299.0
2025-10-04 22:13:24.683925,training.py:202,PUZZLES EVAL,85000,puzzles_total,1024.0
2025-10-04 22:15:48.276553,training.py:209,EVAL,85000,eval_action_accuracy,0.400390625
2025-10-04 22:15:48.276553,training.py:209,EVAL,85000,eval_entropy,2.8330320673619553
2025-10-04 22:15:48.276553,training.py:209,EVAL,85000,eval_kendall_tau,0.05167892569968825
2025-10-04 22:15:48.276553,training.py:209,EVAL,85000,eval_output_log_loss,3.038311004638672
2025-10-04 22:38:51.934537,training.py:202,PUZZLES EVAL,90000,puzzles_accuracy,0.2958984375
2025-10-04 22:38:51.934537,training.py:202,PUZZLES EVAL,90000,puzzles_avg_rating_solved,1153.5808580858086
2025-10-04 22:38:51.934537,training.py:202,PUZZLES EVAL,90000,puzzles_solved,303.0
2025-10-04 22:38:51.934537,training.py:202,PUZZLES EVAL,90000,puzzles_total,1024.0
2025-10-04 22:41:17.045696,training.py:209,EVAL,90000,eval_action_accuracy,0.40234375
2025-10-04 22:41:17.045696,training.py:209,EVAL,90000,eval_entropy,2.8045606070631948
2025-10-04 22:41:17.045696,training.py:209,EVAL,90000,eval_kendall_tau,0.047663616712767726
2025-10-04 22:41:17.045696,training.py:209,EVAL,90000,eval_output_log_loss,2.9972448348999023
2025-10-04 23:04:20.042904,training.py:202,PUZZLES EVAL,95000,puzzles_accuracy,0.30859375
2025-10-04 23:04:20.042904,training.py:202,PUZZLES EVAL,95000,puzzles_avg_rating_solved,1164.9303797468353
2025-10-04 23:04:20.042904,training.py:202,PUZZLES EVAL,95000,puzzles_solved,316.0
2025-10-04 23:04:20.042904,training.py:202,PUZZLES EVAL,95000,puzzles_total,1024.0
2025-10-04 23:06:44.177684,training.py:209,EVAL,95000,eval_action_accuracy,0.4208984375
2025-10-04 23:06:44.177684,training.py:209,EVAL,95000,eval_entropy,2.770684212197466
2025-10-04 23:06:44.177684,training.py:209,EVAL,95000,eval_kendall_tau,0.0559733326209491
2025-10-04 23:06:44.177684,training.py:209,EVAL,95000,eval_output_log_loss,2.9955406188964844
2025-10-04 23:29:49.112396,training.py:202,PUZZLES EVAL,100000,puzzles_accuracy,0.337890625
